ID,Character ID,Name,Anime / Source,Rarity,Event,Image Filename,Image Path,Channel Title,Message ID,Scraped At
1,,𝐍𝐚𝐦𝐞: 𝗥𝘆𝗼𝗺𝗲𝗻 𝗦𝘂𝗸𝘂𝗻𝗮,𝐀𝐧𝐢𝐦𝐞: 𝗝𝘂𝗷𝘂𝘁𝘀𝘂 𝗞𝗮𝗶𝘀𝗲𝗻,𝐑𝐚𝐫𝐢𝐭𝐲: 🌌 𝗡𝗲𝗯𝘂𝗹𝗮,,,,GALAXY DATABASE,21937,2026-08-28T20:27:44.808073
2,,𝐍𝐚𝐦𝐞: 𝗬𝘂𝗷𝗶 𝗜𝘁𝗮𝗱𝗼𝗿𝗶,𝐀𝐧𝐢𝐦𝐞: 𝗝𝘂𝗷𝘂𝘁𝘀𝘂 𝗞𝗮𝗶𝘀𝗲𝗻,𝐑𝐚𝐫𝐢𝐭𝐲: 🪐 G𝗮𝗹𝗮𝘅𝘆,,,,GALAXY DATABASE,21938,2026-08-28T20:27:44.882595
3,,𝐍𝐚𝐦𝐞: 𝗬𝘂𝗷𝗶 𝗜𝘁𝗮𝗱𝗼𝗿𝗶,𝐀𝐧𝐢𝐦𝐞: 𝗝𝘂𝗷𝘂𝘁𝘀𝘂 𝗞𝗮𝗶𝘀𝗲𝗻,𝐑𝐚𝐫𝐢𝐭𝐲: ✨ 𝗔𝘀𝘁𝗿𝗮𝗹,,,,GALAXY DATABASE,21939,2026-08-28T20:27:44.946038
4,,𝐍𝐚𝐦𝐞: 𝗬𝘂𝗷𝗶 𝗜𝘁𝗮𝗱𝗼𝗿𝗶,𝐀𝐧𝐢𝐦𝐞: 𝗝𝘂𝗷𝘂𝘁𝘀𝘂 𝗞𝗮𝗶𝘀𝗲𝗻,𝐑𝐚𝐫𝐢𝐭𝐲: 🌌 𝗡𝗲𝗯𝘂𝗹𝗮,,,,GALAXY DATABASE,21940,2026-08-28T20:27:45.022464
5,,𝐍𝐚𝐦𝐞: 𝗠𝗮𝗱𝗮𝗿𝗮 𝗨𝗰𝗵𝗶𝗵𝗮,𝐀𝐧𝐢𝐦𝐞: 𝗡𝗮𝗿𝘂𝘁𝗼,𝐑𝐚𝐫𝐢𝐭𝐲: 🪐 G𝗮𝗹𝗮𝘅𝘆,,,,GALAXY DATABASE,21941,2026-08-28T20:27:45.083659
6,,𝐍𝐚𝐦𝐞: 𝗠𝗮𝗱𝗮𝗿𝗮 𝗨𝗰𝗵𝗶𝗵𝗮,𝐀𝐧𝐢𝐦𝐞: 𝗡𝗮𝗿𝘂𝘁𝗼,𝐑𝐚𝐫𝐢𝐭𝐲: ✨ 𝗔𝘀𝘁𝗿𝗮𝗹,,,,GALAXY DATABASE,21942,2026-08-28T20:27:45.145704
7,,𝐍𝐚𝐦𝐞: 𝗠𝗮𝗱𝗮𝗿𝗮 𝗨𝗰𝗵𝗶𝗵𝗮,𝐀𝐧𝐢𝐦𝐞: 𝗡𝗮𝗿𝘂𝘁𝗼,𝐑𝐚𝐫𝐢𝐭𝐲: 🌌 𝗡𝗲𝗯𝘂𝗹𝗮,,,,GALAXY DATABASE,21943,2026-08-28T20:27:45.207537
8,,𝐍𝐚𝐦𝐞: 𝗥𝘆𝗼𝗺𝗲𝗻 𝗦𝘂𝗸𝘂𝗻𝗮 (𝗸𝗶𝗻𝗴 𝗢𝗳 𝗖𝘂𝗿𝘀𝗲𝘀),𝐀𝐧𝐢𝐦𝐞: 𝗝𝘂𝗷𝘂𝘁𝘀𝘂 𝗞𝗮𝗶𝘀𝗲𝗻,𝐑𝐚𝐫𝐢𝐭𝐲: 🪐 G𝗮𝗹𝗮𝘅𝘆,,,,GALAXY DATABASE,21944,2026-08-28T20:27:45.269503
9,,𝐍𝐚𝐦𝐞: 𝗢𝗯𝗶𝘁𝗼 𝗨𝗰𝗵𝗶𝗵𝗮,𝐀𝐧𝐢𝐦𝐞: 𝗡𝗮𝗿𝘂𝘁𝗼,𝐑𝐚𝐫𝐢𝐭𝐲: 🪐 G𝗮𝗹𝗮𝘅𝘆,,,,GALAXY DATABASE,21945,2026-08-28T20:27:45.331642
10,,𝐍𝐚𝐦𝐞: 𝗥𝘆𝗼𝗺𝗲𝗻 𝗦𝘂𝗸𝘂𝗻𝗮,𝐀𝐧𝐢𝐦𝐞: 𝗝𝘂𝗷𝘂𝘁𝘀𝘂 𝗞𝗮𝗶𝘀𝗲𝗻,𝐑𝐚𝐫𝐢𝐭𝐲: ✨ 𝗔𝘀𝘁𝗿𝗮𝗹,,,,GALAXY DATABASE,21946,2026-08-28T20:27:45.393794
